id,tweet,created_at,user_id,name,username,retweets_count,replies_count,likes_count,quote_url
1516048336477995008,@alinnfm @TheBridge_Tech  https://t.co/0IWmJ42wab,2022-04-18 15:37:44 CEST,604485175,Berta Otero,bertinha84,0,0,0,
1516044530348347394,@bertinha84 @TheBridge_Tech ¡¡Que emoción!! 🤗 Todo lo bueno del mundo para ti en esta etapa 🏆,2022-04-18 15:22:37 CEST,3063927221,ali,alinnfm,0,1,1,
1515970019733258247,@bertinha84 Ese nudo es presagio de algo bueno 😆¡Bienvenida a @TheBridge_Tech ! Muchas horas de #UXUI te esperan 🙌 ¡sin miedo!,2022-04-18 10:26:32 CEST,1162694149956603904,The Bridge,thebridge_tech,0,0,1,
1515945939508375556,"@marcosDLCS @TheBridge_Tech Lo haré, gracias Marcos 🙂",2022-04-18 08:50:51 CEST,604485175,Berta Otero,bertinha84,0,0,0,
1515944204127645701,@bertinha84 @TheBridge_Tech Mucha suerte en la nueva aventura.  ¡No olvides compartir tu camino y tus experiencias!   Seguro que son de utilidad para la comunidad.  💪,2022-04-18 08:43:57 CEST,147003255,Marcos de la Calle,marcosdlcs,0,1,1,
1515933948001632256,Hoy empiezo en un ratito mi camino en el Ux/ui de la mano de @TheBridge_Tech en su bootcamp. Tengo un nudo enorme en el estómago y todas las ganas de aprender. A por todas voy!,2022-04-18 08:03:12 CEST,604485175,Berta Otero,bertinha84,1,5,6,
1513867656180477953,@manufosela @Adalab_Digital @4GeeksAcademyES @socratech_ @TheBridge_Tech @ITAcademy @nebulova_es Muy orgullosos de nuestros Top Notch Coders🚀 Mucho ánimo a esa 6ª #GeneracionK  de  @kairos_ds con todo lo nuevo👏,2022-04-12 15:12:30 CEST,1026530062923968513,Codenotch,codenotchmad,0,0,0,
1513848281801056258,"De los 21, hay 7 desarrolladoras de @Adalab_Digital, 4 de @4GeeksAcademyES, 2 de @CodenotchMAD, 1 de @socratech_ , 1 de @TheBridge_Tech, 1 de @ITAcademy, 1 de @nebulova_es y de FP-DAW y autodidactas.",2022-04-12 13:55:30 CEST,1609031,Mánu Fosela,manufosela,3,3,12,
1513807125205684224,A la vuelta de #SemanaSantaSevilla toca👉 #bootcamps🧑‍💻Especialízate en #datascience o #desarrollowebfullstack con nuestros programas en colaboración con @ENCamaraSevilla ¡Estudia en pleno centro de Sevilla! Y en unos meses sal a comerte el sector tech🚀 https://t.co/1MQSzZSqLv  https://t.co/ggtxFWCV72,2022-04-12 11:11:58 CEST,1162694149956603904,The Bridge,thebridge_tech,1,0,3,
1513473323589672963,"📅El 25 de abril estrenamos los #BurnMondays🔥, con la colaboración de @burn_es, una oportunidad para que nuestr@s alum@s puedan presentar sus proyectos, hacer un taller... En definitiva, mostrar su talento al🌎 ¡Save the date! ➡ Entradas  https://t.co/yzVCLHZXVd   #bootcamps  https://t.co/yZuTjBCGIf",2022-04-11 13:05:33 CEST,1162694149956603904,The Bridge,thebridge_tech,1,0,0,
1512026991578566657,@burn_es ¿Algún que otro? 😝 Toda energía extra es bienvenida y necesaria 🔋🔥 ¡Gracias @burn_es! Pronto haremos buen uso de ella...  https://t.co/p0uELS5eIf,2022-04-07 13:18:21 CEST,1162694149956603904,The Bridge,thebridge_tech,0,0,0,
1512007299187027971,"Nos han contado que en @TheBridge_Tech se lo curran mucho... Hemos colado algún que otro BURN, ¿os viene bien una ayudita de energía? 🔋🔥",2022-04-07 12:00:06 CEST,227327854,BURN España 🔥,burn_es,1,1,6,
1511970979324518406,En dos semanas empezamos los bootcamps Part Time (compatibles con trabajo/estudios) en #Sevilla y en @ENCamaraSevilla ya hay quién ha empezado a calentar!!💪 ¿Preparados para lo que viene? 👉 https://t.co/1KbOQQK8iw,2022-04-07 09:35:47 CEST,1162694149956603904,The Bridge,thebridge_tech,0,0,0,https://twitter.com/ENCamaraSevilla/status/1511733833166729224
1511633207061630980,@TheBridge_Tech ¡A vuestra disposición! ¡Muchas gracias!,2022-04-06 11:13:36 CEST,127000294,Bea Jimenez,beajmnz,0,0,0,
1511613451063410690,"@AndreaMaganRey Hola Andrea ¡Qué gran trabajo! Estamos encantados de pasarte información para que puedas completar ese listado, te mandamos un DM 👏",2022-04-06 09:55:05 CEST,1162694149956603904,The Bridge,thebridge_tech,0,0,0,
1511329612260950019,@assemblerinstit @TheBridge_Tech @CraftCodeTech @CodeHouseLearn @CodenotchMAD @NeolandStudio @Adalab_Digital @IEuniversity @lemoncoders @codeworks @geeks_academy @penascalf5 Hola. Lo tenemos en formato Json en Git.  https://t.co/x2dnE2VFAB Podéis hacer un PR ;),2022-04-05 15:07:13 CEST,41110484,Raúl Cotrina,raulcotrina,0,0,3,
1511328611755827200,"@raulcotrina @TheBridge_Tech @CraftCodeTech @CodeHouseLearn @CodenotchMAD @NeolandStudio @Adalab_Digital @IEuniversity @lemoncoders @codeworks @geeks_academy @penascalf5 Muy buenas Raúl, nos parece una idea increíble. ¿Me dices donde te pasamos la información de los cursos que tenemos actualmente?",2022-04-05 15:03:14 CEST,1102950803843751936,Assembler Institute of Technology,assemblerinstit,0,1,0,
1509622664297693189,"Cuando piensas en un hacker... ¿Te imaginas a una mujer? 🤔 ""Son muy pocas las mujeres que deciden apostar por estudios de tecnología, hay que fomentar la inclusión de las mujeres en un mercado laboral con un futuro muy prometedor"", explica @ikerarceseco 👩‍💻 https://t.co/UQgHL1tLCQ",2022-03-31 22:04:25 CEST,1162694149956603904,The Bridge,thebridge_tech,0,0,0,
1509126320386715655,Hemos colaborado con @TheBridge_Tech aportando el proyecto final de los alumnos para el Desafío de Tripulaciones y premiando a los 3 grupos con una donación para la ONG de su elección. Increíbles resultados en tiempo récord🤩 #apoyamoseltalentotech  https://t.co/vJ5HdV6gSN  https://t.co/LpSUpFtdfp,2022-03-30 13:12:07 CEST,1402182570314539009,TheFringe/LABS,thefringelabs,1,0,4,
1509108619782111235,¡Llegó el día! Hoy es el #DesafiodeTripulaciones ⚔ en el campus de #Valencia ¡Mucha suerte a toda esa primera promoción valenciana presentando sus súper webapps! No te lo pierdas ▶ Sigue ya el DIRECTO aquí  https://t.co/lLXz2wKxaX  #datascience #fullstackwebdevelopment #bootcamp,2022-03-30 12:01:47 CEST,1162694149956603904,The Bridge,thebridge_tech,2,0,1,
1509101924699803650,Seguimos con la 2mesa #ForoVocentoEducación: Formación para el futuro y las nuevas profesionales que vienen. Participan: ▪️ @JuanJoseJuarez @FBertelsmann ▪️ @mortizcotro @FundCreate ▪️ Iker Arce @TheBridge_Tech ▪️ Gabriel Masfurroll @UABBarcelona 🔴DIRECTO  https://t.co/8xxFlqVpCP  https://t.co/3qAkFVQ9bs,2022-03-30 11:35:11 CEST,1197839987867373568,vocentoEventos,vocentoeventos,2,0,8,
1509074925654532099,"A partir de las 11h nuestro CEO @ikerarceseco participa en el #ForoVocentoEducacion en el debate ""Formación para el futuro y las nuevas profesiones que vienen"" organizado por @Vocento (@vocentoeventos) y @KreabEspana. Síguelo🔴EN DIRECTO ➡  https://t.co/JFh6RBMBd4  https://t.co/RJvjrxULch",2022-03-30 09:47:54 CEST,1162694149956603904,The Bridge,thebridge_tech,0,0,4,https://twitter.com/vocentoeventos/status/1508828414920253443
1508843117000249345,2⃣ FORMACIÓN PARA EL FUTURO Y LAS NUEVAS PROFESIONES QUE VIENEN ▪️ @JuanJoseJuarez (@FBertelsmann) ▪️ @mortizcotro (@FundCreate) ▪️ Iker Arce (@TheBridge_Tech) ▪️ Gabriel Masfurroll (@UABBarcelona) Modera: Antonio San José (@asanjoseperez) (@KreabEspana)  #ForoVocentoEducación  https://t.co/kMY2q5gEZE,2022-03-29 18:26:46 CEST,1197839987867373568,vocentoEventos,vocentoeventos,1,1,3,
